sample_num,full_label,exp_group,time_point,plant_num,unique_id,JA,SA,ABA
1,TF23-ED-MET-D1-C-2,Control_day1,1,PlantC2,D1_C_2,0.0,222.23333333333335,195.38333333333335
2,TF23-ED-MET-D1-C-3,Control_day1,1,PlantC3,D1_C_3,0.0,123.95,93.66666666666666
3,TF23-ED-MET-D1-C-4,Control_day1,1,PlantC4,D1_C_4,0.0,146.53333333333333,172.25
4,TF23-ED-MET-D1-H1st-1,H1st_day1,1,PlantH1,D1_H_1,0.0,172.55,248.21666666666667
5,TF23-ED-MET-D1-H1st-3,H1st_day1,1,PlantH3,D1_H_3,0.0,275.81666666666666,232.66666666666669
6,TF23-ED-MET-D1-H1st-4,H1st_day1,1,PlantH4,D1_H_4,0.0,146.41666666666666,184.55
7,TF23-ED-MET-D1-F1st-2,F1st_day1,1,PlantF2,D1_F_2,0.0,271.76666666666665,172.66666666666666
8,TF23-ED-MET-D1-F1st-3,F1st_day1,1,PlantF3,D1_F_3,0.0,177.04999999999998,171.40000000000003
9,TF23-ED-MET-D1-F1st-6,F1st_day1,1,PlantF6,D1_F_6,0.0,234.55,231.48333333333332
10,TF23-ED-MET-D2-C-2,Control_day2,2,PlantC2,D2_C_2,0.0,319.45,249.64999999999998
11,TF23-ED-MET-D2-C-3,Control_day2,2,PlantC3,D2_C_3,0.0,207.28333333333333,174.9
12,TF23-ED-MET-D2-C-4,Control_day2,2,PlantC4,D2_C_4,0.0,317.9666666666667,165.68333333333334
13,TF23-ED-MET-D2-H1st-1,H1st_day2,2,PlantH1,D2_H_1,0.0,312.5833333333333,416.2
14,TF23-ED-MET-D2-H1st-3,H1st_day2,2,PlantH3,D2_H_3,0.0,196.01666666666665,251.58333333333331
15,TF23-ED-MET-D2-H1st-4,H1st_day2,2,PlantH4,D2_H_4,0.0,185.86666666666665,209.25
16,TF23-ED-MET-D2-F1st-2,F1st_day2,2,PlantF2,D2_F_2,0.0,137.96666666666667,254.36666666666667
17,TF23-ED-MET-D2-F1st-3,F1st_day2,2,PlantF3,D2_F_3,0.0,267.45000000000005,293.2166666666667
18,TF23-ED-MET-D2-F1st-6,F1st_day2,2,PlantF6,D2_F_6,0.0,279.06666666666666,281.5666666666666
19,TF23-ED-MET-D3-C-2,Control_day3,3,PlantC2,D3_C_2,0.0,407.04999999999995,323.85
20,TF23-ED-MET-D3-C-3,Control_day3,3,PlantC3,D3_C_3,0.0,332.53333333333336,251.36666666666667
21,TF23-ED-MET-D3-C-4,Control_day3,3,PlantC4,D3_C_4,0.0,422.8333333333333,264.3666666666667
22,TF23-ED-MET-D3-H1st-1,H1st_day3,3,PlantH1,D3_H_1,100.38333333333333,161.98333333333332,456.7833333333333
23,TF23-ED-MET-D3-H1st-3,H1st_day3,3,PlantH3,D3_H_3,96.98333333333333,102.08333333333333,577.8833333333334
24,TF23-ED-MET-D3-H1st-4,H1st_day3,3,PlantH4,D3_H_4,69.60000000000001,218.73333333333335,449.65
25,TF23-ED-MET-D3-F1st-2,F1st_day3,3,PlantF2,D3_F_2,18.349999999999998,141.84999999999997,582.7666666666667
26,TF23-ED-MET-D3-F1st-3,F1st_day3,3,PlantF3,D3_F_3,225.76666666666665,241.31666666666666,532.75
27,TF23-ED-MET-D3-F1st-6,F1st_day3,3,PlantF6,D3_F_6,20.066666666666666,193.66666666666666,476.6
